"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",1811,3164,2190,10,14294
"GM",5420,506536,13927,169,26174
"Tolerant",8112,76585,56108,44,32811
"Vulnerable",40,274,69,3,916
"Unclassified",11823,48011,17337,116,142065
