"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",4910,3164,6344,0,21949
"GM",8459,96556,7571,4,7741
"Tolerant",34088,52788,97478,27,42409
"Vulnerable",20,32,24,2,48
"Unclassified",23013,11573,33973,165,138086
