"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",2780,18816,5130,8945,1499
"GM",149,77583,8439,46685,1969
"Tolerant",391,17428,5343,12772,8144
"Vulnerable",330,42740,6164,41163,4169
"Unclassified",272,15114,967,7671,163387
