"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",7326,218,12790,35,12728
"GM",239,576,2184,2,621
"Tolerant",21393,1091,190893,70,54836
"Vulnerable",2,0,2,1,63
"Unclassified",41076,893,64193,304,236515
