"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",2,1167,723,1,62
"GM",40,56921,156059,75,2305
"Tolerant",35,165092,23818,221,1675
"Vulnerable",4,261,276,638,618
"Unclassified",2,1864,1425,264,71400
