"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",21674,16642,10125,1213,15986
"GM",15261,528109,156495,694,20408
"Tolerant",1348,70954,68639,52,3355
"Vulnerable",652,811,390,272,1990
"Unclassified",14513,7460,4066,835,32163
