"","NonCrop","GM","Tolerant","Unclassified"
"NonCrop",0,1,0,23
"GM",0,14,17,184
"Tolerant",0,3,2677,929
"Vulnerable",0,0,0,56
"Unclassified",6,261,1617,5331
