"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",11,1,1,9
"GM",2925,18,28,31
"Tolerant",6,7,6,59
"Vulnerable",24,5,174,669
"Unclassified",18,31,321,6775
