"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",478,340,4,6261
"GM",0,0,0,9
"Tolerant",506,18899,4,31036
"Vulnerable",176,614,3,14286
"Unclassified",2281,10435,446,524260
