"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",11417,3167,4024,64,71258
"GM",971,3368,7831,12,4009
"Tolerant",3322,11743,12412,378,10197
"Vulnerable",44,1,2,0,56
"Unclassified",26150,7885,9369,190,323312
