"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",34,39,0,4
"GM",8930,294783,455,428
"Tolerant",269796,118525,2887,236
"Vulnerable",312,3630,3082,186
"Unclassified",238,498,78,47041
