"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",2,0,16,24,117
"GM",1,0,2,0,1
"Tolerant",4,3,859,143,479
"Vulnerable",40,17,209,5849,7891
"Unclassified",185,18,599,6700,28644
