"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",277,3986,926,5177
"Tolerant",3381,52893,32276,18499
"Vulnerable",1406,19377,66163,34028
"Unclassified",6811,11288,52363,221411
