"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",79,3,20,16
"GM",59,2,2,2
"Tolerant",155,177,20,172
"Vulnerable",1176,93,2018,317
"Unclassified",28,76,212,18457
