"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",146,0,283,13402
"GM",1,1,31,894
"Tolerant",95,1,115,2163
"Vulnerable",156,31,1762,15125
"Unclassified",558,150,1233,75902
