"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,0,0,0,8
"GM",0,358,1897,63,62
"Tolerant",4,3108,850,227,73
"Vulnerable",2,38,13,1047,1816
"Unclassified",32,1216,438,6459,52248
