"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",11,799,199,60,475
"GM",81,69881,4555,726,4858
"Tolerant",3,2951,388,38,390
"Vulnerable",12,982,59,7852,9044
"Unclassified",60,6971,430,3087,111708
