"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",391,2478,1233,594,345
"GM",1047,282363,168564,6279,10141
"Tolerant",315,153319,17988,4533,2468
"Vulnerable",209,6142,3749,37070,19495
"Unclassified",38,11890,4583,24323,126932
