"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",46740,26436,44845,45435
"GM",0,1,11,2
"Tolerant",23704,48845,49179,10610
"Vulnerable",6540,33658,488367,51024
"Unclassified",15227,12671,70645,485538
