"","NonCrop","GM","Tolerant","Unclassified"
"NonCrop",0,26,3,60
"GM",16,4796,2029,881
"Tolerant",2,1415,41,204
"Vulnerable",0,22,25,664
"Unclassified",134,665,1037,46806
