"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,7,0,0,2
"GM",2,52360,114328,911,5058
"Tolerant",5,125552,23399,915,6168
"Vulnerable",1,4532,1967,21842,40400
"Unclassified",12,15117,9860,16818,159742
