"","NonCrop","GM","Tolerant","Unclassified"
"NonCrop",4,255,88,159
"GM",251,19495,3781,8661
"Tolerant",40,6908,2574,2897
"Vulnerable",0,16,0,13
"Unclassified",155,2790,417,90853
