"","NonCrop","GM","Tolerant","Unclassified"
"NonCrop",22,12,4,415
"GM",116,17360,5112,6990
"Tolerant",17,6559,5870,2635
"Vulnerable",0,0,0,5
"Unclassified",945,6884,4391,82020
