"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",440,1900,1665,1417
"Tolerant",2338,1303,591,3529
"Vulnerable",2915,1810,38295,11986
"Unclassified",5350,2707,8834,21510
