"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,0,0,67
"GM",256,255,0,648
"Tolerant",83,801,0,1356
"Vulnerable",7,60,6,40
"Unclassified",670,684,88,26481
