"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",773,412,16281,101,2906
"GM",2449,4235,29425,555,6690
"Tolerant",19452,23998,551835,33036,58990
"Vulnerable",600,1285,17880,6257,7196
"Unclassified",8499,4029,38640,3353,63332
