"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",129,16,60,13,259
"GM",70,148869,117099,1121,29887
"Tolerant",37,98062,9940,646,6946
"Vulnerable",2,3040,728,72129,42072
"Unclassified",196,40922,17394,66810,326062
