"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",8604,2476,1722,3370
"Tolerant",9630,59430,30308,3910
"Vulnerable",5078,25122,74735,11742
"Unclassified",15344,19569,22747,255095
