"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,0,0,10
"GM",3407,7504,312,9993
"Tolerant",7003,4798,282,10583
"Vulnerable",1276,3310,7571,150505
"Unclassified",3247,5658,4163,263122
