"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",155,107,5,0
"GM",45574,25535,1310,345
"Tolerant",32458,3086,401,327
"Vulnerable",1270,180,2523,297
"Unclassified",317,20,58,65213
