"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",16111,2956,6391,16128
"Tolerant",9760,11760,37032,12411
"Vulnerable",13098,45276,137185,62945
"Unclassified",12109,11456,39348,143138
