"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",93,1050,1971,194,239
"GM",3007,136217,364677,10588,2533
"Tolerant",2124,352308,149721,10079,3212
"Vulnerable",410,8255,8120,2658,1667
"Unclassified",54,4789,3039,1696,72167
