"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",68,795,1109,8090
"Tolerant",559,25656,18270,59384
"Vulnerable",822,27941,29188,115959
"Unclassified",536,12094,13530,85588
