"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",92,164,22,3
"GM",21003,331378,2029,962
"Tolerant",333574,86659,4176,954
"Vulnerable",1761,3489,4576,316
"Unclassified",2185,849,599,75771
