"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",599,469,504,126,273
"GM",121,1847,2566,54,183
"Tolerant",507,3225,5945,205,178
"Vulnerable",91,136,104,4963,7254
"Unclassified",414,1141,1250,13682,72731
