"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",44,22,165,56,323
"GM",50,604,13348,227,1145
"Tolerant",191,11704,49614,4403,5463
"Vulnerable",56,132,2089,15373,6025
"Unclassified",1304,4372,23475,77488,121853
