"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,431,17,0,0
"GM",19,92450,127963,648,784
"Tolerant",3,120489,12667,346,340
"Vulnerable",0,191,185,2496,445
"Unclassified",3,803,436,1211,17978
