"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",1,4,5,33,105
"GM",0,6,9,14,166
"Tolerant",0,0,2,1,28
"Vulnerable",0,1,8,809,328
"Unclassified",34,65,24,239,12487
