"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,1,1,0,21
"GM",1,7802,5799,42,5338
"Tolerant",3,6408,1190,3,3149
"Vulnerable",0,2,0,0,14
"Unclassified",5,3893,2851,13,206901
