"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",24,1692,2171,231,357
"GM",17,2466,2953,78,203
"Tolerant",104,3893,6686,637,606
"Vulnerable",2,513,358,15746,28670
"Unclassified",27,2160,2458,26004,89739
