"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",1,4,3,19,45
"GM",13,1172,1575,664,928
"Tolerant",34,2179,3266,2418,3782
"Vulnerable",6,248,558,18364,17122
"Unclassified",145,3278,7169,85995,40502
