"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,0,0,2
"GM",526,323,54,520
"Tolerant",1066,1001,70,1955
"Vulnerable",185,94,5477,37870
"Unclassified",3203,1365,13316,369940
