"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,0,0,1
"GM",15914,389500,2679,6002
"Tolerant",425520,142587,2684,13722
"Vulnerable",787,4581,9496,6529
"Unclassified",9309,14575,6864,60440
