"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",10271,109,2638,3973,2920
"GM",323,336,1860,274,39
"Tolerant",4372,1332,33722,9842,2081
"Vulnerable",3561,109,7220,101094,11540
"Unclassified",2442,30,1807,7541,136982
