"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,0,0,1
"GM",45,290,34,1667
"Tolerant",166,428,7,1819
"Vulnerable",531,547,1326,86996
"Unclassified",835,1187,1171,203853
