"","NonCrop","GM","Tolerant","Unclassified"
"NonCrop",2585,2221,16550,3426
"GM",1219,24775,8944,2347
"Tolerant",14309,7320,50134,3242
"Vulnerable",0,0,0,5
"Unclassified",2961,4024,5973,24891
