"","NonCrop","GM","Tolerant","Unclassified"
"NonCrop",2776,1499,13599,3458
"GM",3720,24266,8791,3936
"Tolerant",18863,6251,43198,7534
"Vulnerable",28,28,33,169
"Unclassified",5417,3303,5236,22821
