"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",417,348,1615,637,1990
"GM",701,19229,393467,11092,3359
"Tolerant",1586,360413,352856,31247,7209
"Vulnerable",513,4533,27885,65806,7392
"Unclassified",635,4401,8903,11901,192629
