"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",225,4660,418,1891
"Tolerant",7314,7267,1114,8182
"Vulnerable",269,2371,85567,53579
"Unclassified",2389,5242,46804,368522
