"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",658,183,2695,5142,1863
"GM",698,11400,52732,18141,958
"Tolerant",3951,71514,273298,96215,6472
"Vulnerable",5061,7402,76633,350704,8766
"Unclassified",2168,2286,20370,29562,49000
