"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",56,1,111,3,2466
"GM",0,0,493,0,0
"Tolerant",620,21,1341,44,247
"Vulnerable",51,4,118,600,650
"Unclassified",352,78,898,1747,38610
