"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",2,2,2,21
"GM",26975,138489,1864,8950
"Tolerant",132556,22490,2879,12246
"Vulnerable",3566,4650,17470,35588
"Unclassified",11966,15448,22898,68081
