"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",434,5415,1680,1588
"Tolerant",12236,37860,21297,16921
"Vulnerable",748,22970,275681,235066
"Unclassified",2104,3131,9993,51368
