"","NonCrop","GM","Tolerant","Unclassified"
"NonCrop",32,152,41,1230
"GM",94,26904,7278,6704
"Tolerant",5,6963,1363,1573
"Vulnerable",0,3,0,3
"Unclassified",330,5420,1131,71699
