"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,18,4,53,154
"GM",6,2737,4283,1333,2865
"Tolerant",7,3046,873,663,1612
"Vulnerable",12,1767,1001,22946,33765
"Unclassified",107,10801,5328,104333,74254
