"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",369068,14810,139809,234139,200735
"GM",72509,233841,146855,254880,7672
"Tolerant",130870,68172,349456,204928,27073
"Vulnerable",190492,185726,147952,2788171,149621
"Unclassified",140998,7957,28247,100015,392097
