"","NonCrop","GM","Tolerant","Unclassified"
"NonCrop",295,11,3,526
"GM",84,72,17,627
"Tolerant",11,3,2,139
"Vulnerable",16,4,5,7105
"Unclassified",1334,336,592,29435
