"","NonCrop","GM","Tolerant","Unclassified"
"NonCrop",1060,196,17678,4768
"GM",278,377,1896,1039
"Tolerant",17139,4639,48101,10211
"Vulnerable",0,0,0,2
"Unclassified",3056,1273,6703,36601
