"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,1,0,7
"GM",71313,872714,193,13352
"Tolerant",867720,496811,387,21295
"Vulnerable",287,1477,1486,3643
"Unclassified",9830,25704,1530,118864
