"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,0,0,6
"GM",0,0,0,30
"Tolerant",0,0,2,67
"Vulnerable",0,1,42,687
"Unclassified",9,94,1205,5962
