"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,0,89,239
"GM",3,29,2,21
"Tolerant",3,415,109,40
"Vulnerable",2,15,22090,16010
"Unclassified",43,15,16235,70278
