"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,0,2,7
"GM",10,22,35,7
"Tolerant",10,4721,1348,165
"Vulnerable",39,3957,132117,20301
"Unclassified",1,176,38195,169281
