"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",475,400,532,7770
"Tolerant",2010,15971,9474,43520
"Vulnerable",1640,5858,25911,47006
"Unclassified",5750,26667,36566,455706
