"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",81433,311930,11669,26525
"Tolerant",259921,171574,56203,51318
"Vulnerable",13241,46642,112061,59141
"Unclassified",99099,136483,249857,446091
